,ID,avgK_bip_top,alpha_bip_top,avgK_bip_btm,alpha_bip_btm,alpha_proj_top,corr_proj_top,alpha_proj_btm,corr_proj_btm,gini-coeff,teamSize
team_76,team_76,12.0,2.63,1.8461538461538463,4.59,7.09,-0.58,1.9,-0.04,0.319,7
team_77,team_77,7.777777777777778,1.45,1.8421052631578947,3.82,4.66,-0.52,9.83,0.19,0.396,8
team_78,team_78,16.5,1.49,2.129032258064516,3.0,3.04,-0.67,6.78,-0.18,0.168,3
team_79,team_79,16.642857142857142,2.13,2.026086956521739,3.04,9.1,-0.21,2.01,0.02,0.401,13
team_80,team_80,14.25,4.81,2.0357142857142856,3.54,,,7.15,-0.1,0.265,3
team_81,team_81,43.5,1.29,1.5,4.59,,,2.62,-0.05,0.269,3
team_82,team_82,15.444444444444445,1.4,1.6162790697674418,5.71,6.91,-0.23,8.94,0.17,0.331,8
team_84,team_84,119.41666666666667,1.51,1.472764645426516,3.72,7.62,-0.25,1.47,0.19,0.343,11
team_85,team_85,12.333333333333334,4.08,1.1935483870967742,3.71,,,12.06,0.02,0.25,2
team_86,team_86,6.833333333333333,1.49,1.7826086956521738,3.24,,,2.95,-0.17,0.317,5
team_88,team_88,14.75,3.95,1.9666666666666666,5.67,,,2.8,-0.11,0.268,3
team_89,team_89,10.5,1.41,1.8529411764705883,4.81,5.49,-0.45,,,0.381,5
team_90,team_90,36.92307692307692,2.47,1.3370473537604457,3.46,10.75,-0.24,1.49,0.71,0.297,12
team_91,team_91,19.666666666666668,8.19,1.8631578947368421,4.23,5.29,-0.49,6.36,0.02,0.175,8
team_92,team_92,13.0,4.19,3.183673469387755,9.96,10.22,-0.22,4.83,-0.19,0.198,11
team_93,team_93,12.272727272727273,3.18,1.9285714285714286,4.14,9.52,-0.24,8.68,0.02,0.292,10
team_94,team_94,10.7,3.4,2.4318181818181817,2.89,2.26,0.06,10.37,0.18,0.348,9
team_98,team_98,40.3,1.89,1.321311475409836,4.55,5.62,-0.32,1.42,0.39,0.382,9
team_100,team_100,11.833333333333334,9.38,2.2903225806451615,6.86,5.49,-0.45,10.33,-0.21,0.233,5
team_101,team_101,12.3,2.39,2.1206896551724137,4.59,5.41,-0.27,1.49,0.07,0.361,9
team_102,team_102,9.615384615384615,3.8,3.048780487804878,5.21,7.24,-0.29,7.2,-0.22,0.308,12
team_103,team_103,92.2,4.62,4.328638497652582,13.03,10.63,-0.26,6.0,-0.07,0.275,9
team_104,team_104,31.1,1.88,1.5097087378640777,3.54,4.55,-0.29,1.33,0.14,0.375,9
team_105,team_105,57.125,3.21,1.528428093645485,5.81,4.09,-0.43,5.98,0.07,0.226,7
team_106,team_106,8.866666666666667,1.49,1.7272727272727273,2.95,4.02,-0.62,1.81,0.37,0.383,14
team_107,team_107,9.0,2.93,2.076923076923077,3.87,,,1.86,-0.12,0.37,5
team_108,team_108,13.571428571428571,1.57,1.6379310344827587,2.82,7.02,-0.38,1.73,-0.01,0.357,6
team_109,team_109,14.666666666666666,1.54,2.588235294117647,4.13,,,3.96,-0.15,0.192,8
team_110,team_110,14.0,1.66,1.6470588235294117,2.81,14.31,-0.37,1.83,0.08,0.385,11
team_111,team_111,24.857142857142858,1.32,1.6571428571428573,6.86,6.61,-0.45,5.6,-0.17,0.297,6
team_112,team_112,71.1,2.06,1.185,4.36,8.69,-0.27,4.86,0.42,0.299,9
team_113,team_113,26.11111111111111,2.23,1.6095890410958904,2.79,7.13,-0.37,6.53,0.13,0.279,8
team_115,team_115,31.0,1.77,1.7222222222222223,4.09,12.11,-0.13,5.86,0.09,0.355,13
team_116,team_116,44.75,1.91,1.185430463576159,2.22,3.36,-0.71,1.44,0.23,0.311,3
team_117,team_117,60.5,1.31,1.7846607669616519,7.02,10.63,-0.45,1.43,-0.02,0.404,9
team_118,team_118,22.583333333333332,2.22,1.6524390243902438,3.56,12.18,-0.23,7.09,0.13,0.358,11
team_119,team_119,9.454545454545455,1.41,3.25,3.47,14.85,-0.1,5.78,-0.23,0.365,10
team_120,team_120,9.5,1.93,1.9655172413793103,4.93,3.25,-0.58,1.69,0.06,0.339,5
team_121,team_121,20.285714285714285,3.34,1.868421052631579,2.66,3.68,-0.49,8.73,-0.1,0.339,6
team_122,team_122,19.375,1.51,1.7816091954022988,2.75,7.09,-0.33,5.05,-0.16,0.266,7
team_123,team_123,6.888888888888889,2.57,1.7222222222222223,5.18,8.1,-0.55,9.17,0.19,0.31,8
team_124,team_124,26.875,5.54,1.7916666666666667,4.78,7.02,-0.34,8.05,0.1,0.301,7
team_125,team_125,215.2,3.87,1.3794871794871795,3.59,,,1.82,0.14,0.186,4
team_126,team_126,20.782608695652176,4.63,2.366336633663366,3.17,10.85,-0.26,5.11,-0.0,0.358,22
team_127,team_127,10.0,1.64,2.0,3.78,3.04,-0.67,,,0.243,3
team_128,team_128,18.2,3.22,2.0681818181818183,5.78,5.29,-0.37,7.23,-0.05,0.262,9
team_129,team_129,5.555555555555555,12.5,2.380952380952381,3.62,3.57,-0.44,7.58,-0.2,0.304,8
team_130,team_130,7.0,2.38,3.0,3.92,10.32,-0.5,3.18,-0.14,0.333,11
team_131,team_131,20.833333333333332,2.21,1.358695652173913,4.17,4.74,-0.44,1.4,0.34,0.352,5
team_132,team_132,5.25,1.57,2.210526315789474,2.74,7.53,-0.33,5.19,-0.25,0.33,7
team_133,team_133,17.75,1.59,3.0869565217391304,11.73,15.89,-0.15,8.59,-0.11,0.388,11
team_134,team_134,13.333333333333334,4.08,1.1428571428571428,3.57,,,7.57,0.48,0.246,2
team_135,team_135,22.625,2.09,1.7658536585365854,3.78,5.32,-0.33,7.19,0.05,0.344,15
team_136,team_136,68.0909090909091,4.19,1.7706855791962175,3.58,6.93,-0.26,6.52,-0.05,0.319,21
team_137,team_137,20.333333333333332,2.5,1.7766990291262137,3.43,12.01,-0.27,1.5,0.21,0.264,8
team_138,team_138,20.363636363636363,1.47,1.4267515923566878,4.23,3.77,-0.73,1.47,0.29,0.38,10
team_141,team_141,19.0,2.84,2.054054054054054,7.5,6.71,-0.33,1.44,0.04,0.36,7
team_142,team_142,37.7,2.89,1.8756218905472637,4.34,12.02,-0.25,1.46,0.14,0.327,9
team_143,team_143,15.0,2.04,2.25,5.45,5.76,-0.24,1.47,-0.02,0.356,11
team_144,team_144,43.5,1.96,1.2608695652173914,5.34,,,1.42,0.03,0.224,3
team_145,team_145,55.689655172413794,1.34,2.197278911564626,3.57,4.95,-0.02,5.09,-0.08,0.39,28
team_146,team_146,6.333333333333333,9.29,3.5625,5.03,9.05,-0.29,12.04,-0.17,0.339,8
team_147,team_147,15.25,7.94,2.6142857142857143,3.12,14.31,-0.29,3.92,-0.12,0.273,11
team_148,team_148,11.11111111111111,3.38,2.9411764705882355,4.71,9.05,-0.29,9.04,-0.14,0.242,8
team_149,team_149,31.363636363636363,1.32,1.8449197860962567,3.55,11.07,-0.39,3.65,0.02,0.364,10
team_150,team_150,46.08695652173913,1.31,1.849912739965096,3.47,3.2,-0.36,5.49,0.15,0.384,22
team_152,team_152,9.428571428571429,2.33,2.0625,7.02,7.02,-0.38,,,0.323,6
team_153,team_153,24.375,2.01,1.7410714285714286,3.49,5.94,-0.29,3.68,0.05,0.28,7
team_154,team_154,14.75,5.29,2.107142857142857,5.17,,,5.98,-0.19,0.15,3
team_155,team_155,12.0,4.93,1.5,4.08,,,10.79,-0.1,0.157,2
team_156,team_156,8.333333333333334,2.19,1.7857142857142858,4.59,3.92,-0.38,1.63,0.43,0.368,5
team_157,team_157,11.545454545454545,3.68,2.5918367346938775,9.87,7.31,-0.3,4.0,-0.17,0.306,10
team_158,team_158,5.6,3.06,1.4736842105263157,4.59,4.07,-0.55,1.56,0.41,0.256,4
team_159,team_159,5.75,2.61,1.2777777777777777,2.93,,,1.6,0.13,0.267,3
team_160,team_160,6.6,1.82,2.357142857142857,3.19,4.07,-0.55,10.6,-0.19,0.271,4
team_163,team_163,18.875,4.1,1.4803921568627452,2.86,8.97,-0.39,8.34,0.06,0.303,7
team_165,team_165,25.0,4.97,1.492537313432836,4.19,3.04,-0.67,3.01,-0.04,0.202,3
team_173,team_173,82.83333333333333,1.4,2.466501240694789,5.33,5.9,-0.27,6.66,0.02,0.297,11
team_174,team_174,118.16666666666667,2.82,1.8439531859557867,8.97,12.18,-0.32,5.57,-0.04,0.312,11
team_175,team_175,88.6,2.84,1.9515418502202644,4.66,,,5.16,-0.08,0.205,9
team_176,team_176,57.84615384615385,6.31,1.2789115646258504,3.67,2.77,-0.35,4.26,0.17,0.284,12
team_177,team_177,40.25,2.64,2.1114754098360655,4.61,5.32,-0.4,4.3,-0.02,0.331,15
team_179,team_179,31.2,2.61,1.894736842105263,3.23,13.26,-0.3,6.56,0.11,0.378,14
team_180,team_180,21.0,1.51,1.2857142857142858,3.81,,,,,0.249,2
team_181,team_181,7.111111111111111,3.05,2.0,2.81,5.0,-0.32,6.26,-0.02,0.31,8
team_182,team_182,39.666666666666664,2.2,1.9070512820512822,4.02,11.53,-0.32,4.97,-0.06,0.321,14
team_183,team_183,40.57142857142857,1.6,1.5268817204301075,5.34,3.08,-0.64,4.24,-0.12,0.305,6
team_185,team_185,15.363636363636363,2.22,1.4322033898305084,5.18,2.16,-0.57,1.31,0.33,0.435,10
team_187,team_187,14.375,2.1,1.9327731092436975,3.23,1.51,-0.02,4.41,-0.07,0.363,31
team_188,team_188,13.2,3.45,1.65,5.34,3.82,-0.5,2.4,-0.05,0.36,5
team_189,team_189,21.25,2.49,2.236842105263158,3.9,4.05,-0.28,7.87,-0.1,0.349,11
team_190,team_190,103.6923076923077,5.02,1.8365122615803815,7.18,7.85,-0.12,6.11,-0.05,0.265,12
team_191,team_191,52.07142857142857,1.6,2.209090909090909,4.28,6.22,-0.13,6.84,-0.03,0.358,13
team_192,team_192,19.727272727272727,1.38,1.6564885496183206,3.31,11.07,-0.46,1.8,0.13,0.328,10
team_193,team_193,15.214285714285714,3.41,1.868421052631579,6.87,14.24,-0.42,6.8,0.19,0.315,13
team_194,team_194,14.142857142857142,3.46,2.357142857142857,4.51,6.09,-0.38,3.8,0.17,0.308,6
team_195,team_195,39.44444444444444,1.48,1.868421052631579,6.24,8.1,-0.51,1.35,0.23,0.309,8
team_196,team_196,11.25,1.75,2.288135593220339,2.51,13.04,-0.41,6.13,-0.21,0.415,11
team_197,team_197,13.3,4.01,1.6835443037974684,2.74,9.1,-0.29,7.18,0.04,0.259,9
team_198,team_198,25.88888888888889,2.35,1.6180555555555556,6.21,7.35,-0.29,8.23,0.0,0.146,8
team_199,team_199,15.894736842105264,3.71,2.559322033898305,2.89,10.13,-0.21,8.5,0.11,0.247,18
team_200,team_200,91.81818181818181,2.07,1.8035714285714286,5.26,9.52,-0.32,4.03,-0.13,0.248,10
team_201,team_201,12.0,3.76,2.7,6.7,6.62,-0.25,2.02,-0.1,0.38,8
team_202,team_202,7.333333333333333,3.59,3.3,3.52,7.13,-0.37,1.94,-0.2,0.295,8
team_203,team_203,70.4,1.96,2.0258992805755396,10.72,3.4,-0.33,5.42,0.05,0.344,19
team_204,team_204,9.454545454545455,2.05,1.7333333333333334,3.21,10.16,-0.38,1.5,0.18,0.379,10
team_205,team_205,15.88888888888889,3.66,2.0140845070422535,3.47,7.35,-0.29,1.83,0.04,0.403,8
team_206,team_206,13.416666666666666,5.55,2.5555555555555554,4.08,13.04,-0.34,8.46,-0.1,0.332,11
team_207,team_207,13.8,3.81,2.3793103448275863,5.81,,,8.45,-0.11,0.284,4
team_208,team_208,5.111111111111111,2.0,3.1724137931034484,2.32,1.74,-0.21,1.47,-0.01,0.451,17
team_209,team_209,10.454545454545455,1.4,2.6136363636363638,8.97,9.96,-0.2,4.79,-0.16,0.361,10
team_210,team_210,35.09090909090909,1.97,1.6150627615062763,7.02,12.98,-0.34,1.59,0.31,0.35,10
team_211,team_211,20.5,2.27,2.3768115942028984,5.38,9.49,-0.38,7.19,0.13,0.355,7
team_212,team_212,17.0,2.21,1.7894736842105263,2.66,5.96,-0.39,1.48,0.25,0.394,9
team_214,team_214,5.0,1.62,2.1875,3.41,,,,,0.396,6
team_215,team_215,24.642857142857142,5.72,2.4295774647887325,3.0,8.42,0.08,4.82,-0.14,0.275,13
team_216,team_216,48.333333333333336,2.07,1.25,8.97,3.67,-0.34,1.3,0.8,0.434,8
team_217,team_217,15.0,5.36,2.0454545454545454,1.78,,,2.56,-0.12,0.018,2
team_218,team_218,67.42105263157895,5.03,4.762081784386617,10.24,6.76,-0.18,6.73,-0.11,0.308,18
team_219,team_219,7.0,2.66,2.1538461538461537,2.67,,,12.11,-0.2,0.152,3
team_220,team_220,17.4,1.49,1.1917808219178083,4.14,2.93,-0.81,1.53,-0.03,0.374,4
team_221,team_221,16.571428571428573,3.3,1.901639344262295,8.97,,,1.68,0.32,0.317,6
team_222,team_222,33.416666666666664,1.92,2.2154696132596685,8.5,14.38,-0.39,3.6,-0.15,0.316,11
team_223,team_223,40.63636363636363,2.09,1.6804511278195489,4.3,2.46,-0.38,7.51,0.07,0.258,10
