source,target
team_76,team_253
team_77,team_393
team_77,team_1376
team_77,team_1399
team_77,team_1513
team_77,team_1685
team_78,team_127
team_78,team_655
team_78,team_1520
team_78,team_1528
team_78,team_1550
team_78,team_1702
team_78,team_1753
team_78,team_2011
team_78,team_2648
team_78,team_2720
team_78,team_2804
team_78,team_2838
team_79,team_243
team_79,team_273
team_79,team_362
team_79,team_364
team_79,team_518
team_79,team_548
team_79,team_598
team_79,team_1163
team_79,team_1415
team_79,team_1492
team_79,team_1587
team_79,team_1813
team_79,team_2097
team_79,team_2213
team_79,team_2398
team_79,team_2617
team_80,team_155
team_80,team_416
team_80,team_674
team_80,team_945
team_80,team_1069
team_80,team_1154
team_80,team_1222
team_80,team_1481
team_80,team_1514
team_80,team_1662
team_80,team_1664
team_80,team_1741
team_80,team_1793
team_80,team_1841
team_80,team_1854
team_80,team_1939
team_80,team_2056
team_80,team_2235
team_80,team_2343
team_80,team_2514
team_80,team_2536
team_80,team_2597
team_81,team_144
team_81,team_575
team_81,team_632
team_81,team_1097
team_81,team_1716
team_81,team_1903
team_81,team_1920
team_81,team_2065
team_81,team_2371
team_81,team_2547
team_81,team_2789
team_84,team_112
team_84,team_125
team_84,team_173
team_84,team_174
team_84,team_175
team_84,team_190
team_84,team_200
team_84,team_300
team_84,team_302
team_84,team_325
team_84,team_380
team_84,team_398
team_84,team_538
team_84,team_608
team_84,team_625
team_84,team_632
team_84,team_656
team_84,team_729
team_84,team_759
team_84,team_784
team_84,team_838
team_84,team_906
team_84,team_911
team_84,team_1022
team_84,team_1065
team_84,team_1067
team_84,team_1172
team_84,team_1365
team_84,team_1541
team_84,team_1938
team_84,team_2074
team_84,team_2206
team_85,team_155
team_85,team_410
team_85,team_522
team_85,team_582
team_85,team_594
team_85,team_718
team_85,team_755
team_85,team_837
team_85,team_956
team_85,team_1076
team_85,team_1147
team_85,team_1154
team_85,team_1222
team_85,team_1251
team_85,team_1256
team_85,team_1337
team_85,team_1345
team_85,team_1420
team_85,team_1440
team_85,team_1482
team_85,team_1544
team_85,team_1556
team_85,team_1588
team_85,team_1662
team_85,team_1671
team_85,team_1701
team_85,team_1741
team_85,team_1793
team_85,team_1800
team_85,team_1828
team_85,team_1845
team_85,team_1854
team_85,team_1871
team_85,team_2056
team_85,team_2299
team_85,team_2419
team_85,team_2467
team_85,team_2597
team_85,team_2645
team_86,team_335
team_86,team_359
team_86,team_643
team_86,team_1270
team_86,team_1353
team_86,team_1373
team_86,team_1473
team_86,team_1504
team_86,team_1600
team_86,team_1652
team_86,team_1700
team_86,team_1737
team_86,team_2238
team_86,team_2239
team_86,team_2420
team_86,team_2488
team_86,team_2775
team_88,team_1010
team_88,team_1161
team_88,team_1782
team_88,team_2138
team_88,team_2311
team_88,team_2414
team_88,team_2589
team_88,team_2694
team_88,team_2859
team_88,team_2897
team_89,team_497
team_89,team_978
team_89,team_1043
team_89,team_1385
team_89,team_1834
team_89,team_2072
team_89,team_2129
team_89,team_2844
team_90,team_227
team_90,team_318
team_90,team_386
team_90,team_808
team_90,team_1088
team_90,team_1091
team_90,team_1585
team_90,team_1755
team_90,team_1763
team_91,team_282
team_91,team_583
team_91,team_926
team_91,team_1170
team_91,team_1449
team_91,team_1503
team_91,team_1610
team_91,team_1848
team_91,team_1919
team_91,team_2064
team_91,team_2069
team_91,team_2184
team_91,team_2280
team_91,team_2288
team_91,team_2304
team_91,team_2456
team_91,team_2472
team_91,team_2499
team_91,team_2511
team_91,team_2709
team_91,team_2717
